trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
921280007:0,07:01:00,07:01:00,zenbus:StopPoint:SP:387710006:LOC,7,,,,0,
921280007:0,07:02:00,07:02:00,zenbus:StopPoint:SP:386520003:LOC,8,,,,452,
921280007:0,07:02:00,07:02:00,zenbus:StopPoint:SP:374210003:LOC,9,,,,727,
921280007:0,07:03:00,07:03:00,zenbus:StopPoint:SP:409390007:LOC,12,,,,1330,
921280007:0,07:05:00,07:05:00,zenbus:StopPoint:SP:411370004:LOC,13,,,,1522,
921280007:0,07:06:00,07:06:00,zenbus:StopPoint:SP:480250002:LOC,14,,,,1833,
921280007:0,07:07:00,07:07:00,zenbus:StopPoint:SP:384760005:LOC,15,,,,2273,
921280007:0,07:08:00,07:08:00,zenbus:StopPoint:SP:407710001:LOC,16,,,,2586,
921280007:0,07:09:00,07:09:00,zenbus:StopPoint:SP:411440002:LOC,17,,,,3117,
921280007:0,07:10:00,07:10:00,zenbus:StopPoint:SP:376410001:LOC,18,,,,3328,
921280007:0,07:11:00,07:11:00,zenbus:StopPoint:SP:384770003:LOC,19,,,,3806,
921280007:0,07:12:00,07:12:00,zenbus:StopPoint:SP:409500002:LOC,20,,,,4142,
921280007:0,07:13:00,07:13:00,zenbus:StopPoint:SP:381940002:LOC,21,,,,4624,
921280007:0,07:14:00,07:14:00,zenbus:StopPoint:SP:384750003:LOC,22,,,,4994,
921280007:0,07:15:00,07:15:00,zenbus:StopPoint:SP:378520002:LOC,23,,,,5246,
921280007:0,07:15:00,07:15:00,zenbus:StopPoint:SP:374270002:LOC,24,,,,5394,
921280007:0,07:17:00,07:17:00,zenbus:StopPoint:SP:507070002:LOC,25,,,,6448,
921280007:0,07:20:00,07:20:00,zenbus:StopPoint:SP:501430001:LOC,26,,,,7062,
921280007:0,07:21:00,07:21:00,zenbus:StopPoint:SP:387770003:LOC,27,,,,7791,
921280007:0,07:22:00,07:22:00,zenbus:StopPoint:SP:403930011:LOC,28,,,,8124,
921280007:0,07:23:00,07:23:00,zenbus:StopPoint:SP:379920001:LOC,29,,,,8360,
921280007:0,07:24:00,07:24:00,zenbus:StopPoint:SP:403960002:LOC,30,,,,8661,
921280007:0,07:25:00,07:25:00,zenbus:StopPoint:SP:666510007:LOC,31,,,,9023,
921280007:0,07:26:00,07:26:00,zenbus:StopPoint:SP:679210003:LOC,34,,,,9593,
921280007:1,08:01:00,08:01:00,zenbus:StopPoint:SP:387710006:LOC,7,,,,0,
921280007:1,08:02:00,08:02:00,zenbus:StopPoint:SP:386520003:LOC,8,,,,452,
921280007:1,08:02:00,08:02:00,zenbus:StopPoint:SP:374210003:LOC,9,,,,727,
921280007:1,08:03:00,08:03:00,zenbus:StopPoint:SP:409390007:LOC,12,,,,1330,
921280007:1,08:05:00,08:05:00,zenbus:StopPoint:SP:411370004:LOC,13,,,,1522,
921280007:1,08:06:00,08:06:00,zenbus:StopPoint:SP:480250002:LOC,14,,,,1833,
921280007:1,08:07:00,08:07:00,zenbus:StopPoint:SP:384760005:LOC,15,,,,2273,
921280007:1,08:08:00,08:08:00,zenbus:StopPoint:SP:407710001:LOC,16,,,,2586,
921280007:1,08:09:00,08:09:00,zenbus:StopPoint:SP:411440002:LOC,17,,,,3117,
921280007:1,08:10:00,08:10:00,zenbus:StopPoint:SP:376410001:LOC,18,,,,3328,
921280007:1,08:11:00,08:11:00,zenbus:StopPoint:SP:384770003:LOC,19,,,,3806,
921280007:1,08:12:00,08:12:00,zenbus:StopPoint:SP:409500002:LOC,20,,,,4142,
921280007:1,08:13:00,08:13:00,zenbus:StopPoint:SP:381940002:LOC,21,,,,4624,
921280007:1,08:14:00,08:14:00,zenbus:StopPoint:SP:384750003:LOC,22,,,,4994,
921280007:1,08:15:00,08:15:00,zenbus:StopPoint:SP:378520002:LOC,23,,,,5246,
921280007:1,08:15:00,08:15:00,zenbus:StopPoint:SP:374270002:LOC,24,,,,5394,
921280007:1,08:17:00,08:17:00,zenbus:StopPoint:SP:507070002:LOC,25,,,,6448,
921280007:1,08:20:00,08:20:00,zenbus:StopPoint:SP:501430001:LOC,26,,,,7062,
921280007:1,08:21:00,08:21:00,zenbus:StopPoint:SP:387770003:LOC,27,,,,7791,
921280007:1,08:22:00,08:22:00,zenbus:StopPoint:SP:403930011:LOC,28,,,,8124,
921280007:1,08:23:00,08:23:00,zenbus:StopPoint:SP:379920001:LOC,29,,,,8360,
921280007:1,08:24:00,08:24:00,zenbus:StopPoint:SP:403960002:LOC,30,,,,8661,
921280007:1,08:25:00,08:25:00,zenbus:StopPoint:SP:666510007:LOC,31,,,,9023,
921280007:1,08:26:00,08:26:00,zenbus:StopPoint:SP:679210003:LOC,34,,,,9593,
921280007:2,09:03:00,09:03:00,zenbus:StopPoint:SP:501410003:LOC,10,,,,0,
921280007:2,09:03:00,09:03:00,zenbus:StopPoint:SP:398310005:LOC,11,,,,427,
921280007:2,09:05:00,09:05:00,zenbus:StopPoint:SP:411370004:LOC,13,,,,869,
921280007:2,09:06:00,09:06:00,zenbus:StopPoint:SP:480250002:LOC,14,,,,1180,
921280007:2,09:07:00,09:07:00,zenbus:StopPoint:SP:384760005:LOC,15,,,,1620,
921280007:2,09:08:00,09:08:00,zenbus:StopPoint:SP:407710001:LOC,16,,,,1932,
921280007:2,09:09:00,09:09:00,zenbus:StopPoint:SP:411440002:LOC,17,,,,2463,
921280007:2,09:10:00,09:10:00,zenbus:StopPoint:SP:376410001:LOC,18,,,,2675,
921280007:2,09:11:00,09:11:00,zenbus:StopPoint:SP:384770003:LOC,19,,,,3152,
921280007:2,09:12:00,09:12:00,zenbus:StopPoint:SP:409500002:LOC,20,,,,3489,
921280007:2,09:13:00,09:13:00,zenbus:StopPoint:SP:381940002:LOC,21,,,,3971,
921280007:2,09:14:00,09:14:00,zenbus:StopPoint:SP:384750003:LOC,22,,,,4341,
921280007:2,09:15:00,09:15:00,zenbus:StopPoint:SP:378520002:LOC,23,,,,4593,
921280007:2,09:15:00,09:15:00,zenbus:StopPoint:SP:374270002:LOC,24,,,,4740,
921280007:2,09:17:00,09:17:00,zenbus:StopPoint:SP:507070002:LOC,25,,,,5795,
921280007:2,09:20:00,09:20:00,zenbus:StopPoint:SP:501430001:LOC,26,,,,6408,
921280007:2,09:21:00,09:21:00,zenbus:StopPoint:SP:387770003:LOC,27,,,,7137,
921280007:2,09:22:00,09:22:00,zenbus:StopPoint:SP:403930011:LOC,28,,,,7470,
921280007:2,09:23:00,09:23:00,zenbus:StopPoint:SP:379920001:LOC,29,,,,7707,
921280007:2,09:24:00,09:24:00,zenbus:StopPoint:SP:403960002:LOC,30,,,,8007,
921280007:2,09:25:00,09:25:00,zenbus:StopPoint:SP:666510007:LOC,31,,,,8370,
921280007:2,09:26:00,09:26:00,zenbus:StopPoint:SP:679210003:LOC,34,,,,8940,
921280007:3,10:01:00,10:01:00,zenbus:StopPoint:SP:387710006:LOC,7,,,,0,
921280007:3,10:02:00,10:02:00,zenbus:StopPoint:SP:386520003:LOC,8,,,,452,
921280007:3,10:02:00,10:02:00,zenbus:StopPoint:SP:374210003:LOC,9,,,,727,
921280007:3,10:03:00,10:03:00,zenbus:StopPoint:SP:409390007:LOC,12,,,,1330,
921280007:3,10:05:00,10:05:00,zenbus:StopPoint:SP:411370004:LOC,13,,,,1522,
921280007:3,10:06:00,10:06:00,zenbus:StopPoint:SP:480250002:LOC,14,,,,1833,
921280007:3,10:07:00,10:07:00,zenbus:StopPoint:SP:384760005:LOC,15,,,,2273,
921280007:3,10:08:00,10:08:00,zenbus:StopPoint:SP:407710001:LOC,16,,,,2586,
921280007:3,10:09:00,10:09:00,zenbus:StopPoint:SP:411440002:LOC,17,,,,3117,
921280007:3,10:10:00,10:10:00,zenbus:StopPoint:SP:376410001:LOC,18,,,,3328,
921280007:3,10:11:00,10:11:00,zenbus:StopPoint:SP:384770003:LOC,19,,,,3806,
921280007:3,10:12:00,10:12:00,zenbus:StopPoint:SP:409500002:LOC,20,,,,4142,
921280007:3,10:13:00,10:13:00,zenbus:StopPoint:SP:381940002:LOC,21,,,,4624,
921280007:3,10:14:00,10:14:00,zenbus:StopPoint:SP:384750003:LOC,22,,,,4994,
921280007:3,10:15:00,10:15:00,zenbus:StopPoint:SP:378520002:LOC,23,,,,5246,
921280007:3,10:15:00,10:15:00,zenbus:StopPoint:SP:374270002:LOC,24,,,,5394,
921280007:3,10:17:00,10:17:00,zenbus:StopPoint:SP:507070002:LOC,25,,,,6448,
921280007:3,10:20:00,10:20:00,zenbus:StopPoint:SP:501430001:LOC,26,,,,7062,
921280007:3,10:21:00,10:21:00,zenbus:StopPoint:SP:387770003:LOC,27,,,,7791,
921280007:3,10:22:00,10:22:00,zenbus:StopPoint:SP:403930011:LOC,28,,,,8124,
921280007:3,10:23:00,10:23:00,zenbus:StopPoint:SP:379920001:LOC,29,,,,8360,
921280007:3,10:24:00,10:24:00,zenbus:StopPoint:SP:403960002:LOC,30,,,,8661,
921280007:3,10:25:00,10:25:00,zenbus:StopPoint:SP:666510007:LOC,31,,,,9023,
921280007:3,10:26:00,10:26:00,zenbus:StopPoint:SP:679210003:LOC,34,,,,9593,
921280007:4,11:01:00,11:01:00,zenbus:StopPoint:SP:387710006:LOC,7,,,,0,
921280007:4,11:02:00,11:02:00,zenbus:StopPoint:SP:386520003:LOC,8,,,,452,
921280007:4,11:02:00,11:02:00,zenbus:StopPoint:SP:374210003:LOC,9,,,,727,
921280007:4,11:03:00,11:03:00,zenbus:StopPoint:SP:409390007:LOC,12,,,,1330,
921280007:4,11:05:00,11:05:00,zenbus:StopPoint:SP:411370004:LOC,13,,,,1522,
921280007:4,11:06:00,11:06:00,zenbus:StopPoint:SP:480250002:LOC,14,,,,1833,
921280007:4,11:07:00,11:07:00,zenbus:StopPoint:SP:384760005:LOC,15,,,,2273,
921280007:4,11:08:00,11:08:00,zenbus:StopPoint:SP:407710001:LOC,16,,,,2586,
